path,top_level,kind,line_count,bytes,summary
.codex/skills/exploratorium-translation-sync/SKILL.md,.codex,markdown,32,1722,name: exploratorium-translation-sync
.codex/skills/file-summary-sync/SKILL.md,.codex,markdown,29,1367,name: file-summary-sync
.codex/skills/notebook-playbook-sync/SKILL.md,.codex,markdown,48,2085,name: notebook-playbook-sync
.codex/skills/notebook-playbook-sync/agents/openai.yaml,.codex,yaml,5,300,interface:
.codex/skills/post-push-gh-run-logging/SKILL.md,.codex,markdown,41,2059,name: post-push-gh-run-logging
.codex/skills/post-push-gh-run-logging/agents/openai.yaml,.codex,yaml,5,281,interface:
.codex/skills/post-push-gh-run-logging/scripts/write_gh_run_log.py,.codex,python,178,6346,Python module for write gh run log
.codex/skills/repo-verification-audit-loop/SKILL.md,.codex,markdown,53,2589,name: repo-verification-audit-loop
.codex/skills/repo-verification-audit-loop/agents/openai.yaml,.codex,yaml,5,272,interface:
.codex/skills/rust-sqlite-lookup/SKILL.md,.codex,markdown,36,1297,name: rust-sqlite-lookup
.codex/skills/todo-backlog-sync/SKILL.md,.codex,markdown,29,1289,name: todo-backlog-sync
.dockerignore,.dockerignore,text,17,150,.git
.env.sample,.env.sample,binary,,905,Binary tracked asset at .env.sample
.gitattributes,.gitattributes,text,4,126,*.png filter=lfs diff=lfs merge=lfs -text
.github/workflows/ci.yml,.github,yaml,146,4185,GitHub Actions workflow for ci
.github/workflows/hushwheel-quality.yml,.github,yaml,104,3526,GitHub Actions workflow for hushwheel quality
.github/workflows/pages.yml,.github,yaml,99,2424,GitHub Actions workflow for pages
.github/workflows/publication-pdf.yml,.github,yaml,144,5549,GitHub Actions workflow for publication pdf
.github/workflows/publish.yml,.github,yaml,43,847,GitHub Actions workflow for publish
.gitignore,.gitignore,text,21,222,.venv/
.pre-commit-config.yaml,.pre-commit-config.yaml,yaml,53,1689,repos:
.python-version,.python-version,text,2,5,3.11
.yamllint.yml,.yamllint.yml,yaml,20,416,extends: default
AGENTS.md,AGENTS.md,markdown,108,6999,"Repository-wide agent workflow, utility, and verification instructions"
AGENTS.md.d/00-audit-baseline.md,AGENTS.md.d,markdown,15,592,Audit Baseline Instructions
AGENTS.md.d/10-verification-loop.md,AGENTS.md.d,markdown,22,1175,Verification Loop Instructions
AGENTS.md.d/FILES.md,AGENTS.md.d,markdown,41,2247,Agent instructions for maintaining FILES.md and FILES.csv
AGENTS.md.d/RUST_LOOKUP.md,AGENTS.md.d,markdown,36,1803,Rust SQLite Lookup Instructions
Dockerfile,Dockerfile,text,47,1080,ARG PYTHON_BASE_IMAGE=python:3.11-slim-bookworm
FILES.csv,FILES.csv,csv,,0,"path,top_level,kind,line_count,bytes,summary"
FILES.md,FILES.md,markdown,,0,<!-- Generated by uv run python -m repo_rag_lab.file_summaries --root . Do not edit manually. -->
Makefile,Makefile,makefile,521,24247,UV ?= uv
README.md,README.md,markdown,311,26031,"Top-level repository overview, workflow map, and quality guidance"
TODO.MD,TODO.MD,binary,,6104,Binary tracked asset at TODO.MD
config/retrieval-profile.json,config,json,66,1791,"JSON object with keys: name, retrieval_mode, rerank_candidate_pool_size"
data/questions/repository.yaml,data,yaml,7,283,- question: What does this repository research?
docs/architecture/dspy-rag-guide.md,docs,markdown,920,50895,"DSPy workflow guide for training, runtime use, and compiled programs"
docs/architecture/inspired/dspy-rag-tutorial.md,docs,markdown,35,1474,DSPy Tutorial: Basic RAG
docs/architecture/inspired/implementing-rag-with-dspy-technical-guide.md,docs,markdown,38,1555,Implementing RAG with DSPy: Technical Guide
docs/architecture/mcp-discovery.md,docs,markdown,54,1757,MCP Discovery Notes
docs/architecture/package-api.md,docs,markdown,127,9186,Package API Notes
docs/architecture/research-narrative.md,docs,markdown,1320,102140,"Repository research narrative tying code, docs, and verification together"
